Sigma,Ancilla Count,Energies,Mean Probability,Variance
10.0,4,-1.7483655172413792,0.155986328125,0.005019065952301024
10.0,4,-1.681006896551724,0.07986328125,0.0049633232116699216
10.0,4,-1.6136482758620687,0.074892578125,0.008031910800933836
10.0,4,-1.5462896551724137,0.065146484375,0.007284479999542236
10.0,4,-1.4789310344827586,0.054638671875,0.00305187463760376
10.0,4,-1.4115724137931034,0.0702734375,0.006179464721679688
10.0,4,-1.3442137931034481,0.152900390625,0.009991312122344971
10.0,4,-1.276855172413793,0.28755859375,0.004860428237915039
10.0,4,-1.2094965517241378,0.26607421875,0.006093510055541992
10.0,4,-1.1421379310344828,0.159833984375,0.008550983524322509
10.0,4,-1.0747793103448275,0.082529296875,0.006492371463775634
10.0,4,-1.0074206896551725,0.13701171875,0.013362083435058594
10.0,4,-0.9400620689655173,0.228525390625,0.004877724552154541
10.0,4,-0.872703448275862,0.30525390625,0.002773517227172852
10.0,4,-0.805344827586207,0.1728125,0.0045553668975830105
10.0,4,-0.7379862068965517,0.093427734375,0.005280881977081299
10.0,4,-0.6706275862068967,0.064951171875,0.0056873272895813
10.0,4,-0.6032689655172414,0.08251953125,0.011182870864868164
10.0,4,-0.5359103448275864,0.070517578125,0.008030825519561769
10.0,4,-0.4685517241379311,0.066591796875,0.003398093128204345
10.0,4,-0.40119310344827586,0.092783203125,0.005612931156158448
10.0,4,-0.3338344827586208,0.135341796875,0.005227991962432863
10.0,4,-0.26647586206896556,0.250390625,0.003686237335205077
10.0,4,-0.19911724137931053,0.284892578125,0.004269439792633056
10.0,4,-0.13175862068965527,0.165712890625,0.0071802414894104
10.0,4,-0.0644,0.089150390625,0.004272280597686767
5.0,6,-2.0178,0.09357421875,0.0025859523773193354
5.0,6,-1.9504413793103446,0.210908203125,0.001999534702301026
5.0,6,-1.8830827586206895,0.259423828125,0.00025834321975708006
5.0,6,-1.8157241379310343,0.247626953125,0.0006951809883117675
5.0,6,-1.7483655172413792,0.171728515625,0.002433445453643799
5.0,6,-1.681006896551724,0.113349609375,0.006712465381622314
5.0,6,-1.6136482758620687,0.05630859375,0.0028497261047363276
5.0,6,-1.5462896551724137,0.047470703125,0.005095389270782471
5.0,6,-1.4789310344827586,0.06083984375,0.004574356079101564
5.0,6,-1.4115724137931034,0.106826171875,0.003123009586334229
5.0,6,-1.3442137931034481,0.195087890625,0.0020734139442443846
5.0,6,-1.276855172413793,0.258359375,0.0010110057830810548
5.0,6,-1.2094965517241378,0.2678125,0.0012207817077636719
5.0,6,-1.1421379310344828,0.22607421875,0.005813703536987304
5.0,6,-1.0747793103448275,0.15193359375,0.010733541107177738
5.0,6,-1.0074206896551725,0.210947265625,0.008375334644317629
5.0,6,-0.9400620689655173,0.251962890625,0.0014772080421447756
5.0,6,-0.872703448275862,0.257998046875,0.0009861077308654786
5.0,6,-0.805344827586207,0.205927734375,0.0007422619819641113
5.0,6,-0.7379862068965517,0.1213671875,0.003319284057617188
