Ancilla Count,Energies,Mean Probability,Variance
6,-16.662000000000003,0.012333984375,0.00040273485183715824
6,-16.613597790915794,0.019072265625,0.003685640430450439
6,-16.56519558183158,0.0199609375,0.0018781341552734374
6,-16.516793372747372,0.021728515625,0.0029373764991760254
6,-16.468391163663163,0.009853515625,0.0010743111610412599
6,-16.419988954578955,0.0231640625,0.0027941146850585913
6,-16.371586745494742,0.016533203125,0.0018134976387023918
6,-16.323184536410533,0.011845703125,0.0005809575080871581
6,-16.274782327326324,0.0127734375,0.0006432758331298827
6,-16.226380118242112,0.012314453125,0.0007878045082092284
6,-16.177977909157903,0.01357421875,0.001075716018676758
6,-16.129575700073694,0.014833984375,0.0011184681892395022
6,-16.081173490989485,0.0133203125,0.0007183841705322263
6,-16.032771281905273,0.011181640625,0.00036014795303344725
6,-15.984369072821064,0.012216796875,0.000686592960357666
6,-15.935966863736853,0.016357421875,0.0007858014106750488
6,-15.887564654652644,0.01177734375,0.000605636978149414
6,-15.839162445568434,0.02126953125,0.0016916671752929687
6,-15.790760236484225,0.0105078125,0.0014459156036376957
6,-15.742358027400014,0.0133203125,0.0008090118408203125
6,-15.693955818315805,0.020810546875,0.002923964405059815
6,-15.645553609231595,0.0134375,0.001071932220458984
6,-15.597151400147386,0.019189453125,0.0020112347602844237
6,-15.548749191063175,0.022900390625,0.003240854740142823
6,-15.500346981978964,0.0128125,0.0004581790924072265
6,-15.451944772894755,0.012451171875,0.001215527057647705
6,-15.403542563810545,0.016015625,0.002137374877929689
6,-15.355140354726336,0.01341796875,0.0005710433959960937
6,-15.306738145642125,0.013896484375,0.0011995526313781737
6,-15.258335936557916,0.029560546875,0.0058806153297424335
6,-15.209933727473706,0.01392578125,0.001331255340576172
6,-15.161531518389495,0.018154296875,0.0018050641059875483
6,-15.113129309305286,0.02107421875,0.0036694370269775385
6,-15.064727100221075,0.011552734375,0.0004229031562805175
6,-15.016324891136867,0.014228515625,0.0005681134223937987
6,-14.967922682052656,0.0234765625,0.0041029533386230475
6,-14.919520472968447,0.01828125,0.0014797798156738283
6,-14.871118263884236,0.015341796875,0.001418972873687744
6,-14.822716054800026,0.010146484375,0.000334389591217041
6,-14.774313845715817,0.013642578125,0.0008304348945617679
6,-14.725911636631606,0.00857421875,0.0001252285003662109
6,-14.677509427547397,0.018662109375,0.0013942650794982905
6,-14.629107218463187,0.02658203125,0.0031380859374999996
6,-14.580705009378978,0.015322265625,0.0026787842750549324
6,-14.532302800294767,0.01732421875,0.0008333705902099608
6,-14.483900591210556,0.015771484375,0.001312258243560791
6,-14.435498382126347,0.0119921875,0.0005627933502197266
6,-14.387096173042137,0.011826171875,0.0009651497840881347
6,-14.338693963957926,0.027421875,0.0020940624237060553
6,-14.290291754873717,0.02208984375,0.0007544094085693356
